2025 Federal Election Senate First Preferences By State By Vote Type  [Please Note: These results are not final. Event:31496 Phase:PostElection Generated:2025-05-26T21:46:29 Cycle:643666ce-5653-45dc-8df3-aca02937ad20 Created:2025-05-26T21:45:20 Environment:PROD Site:CANBERRA Server:VTR01 Version:10.11.386.0]
StateAb,Group,CandidateID,BallotPosition,CandidateDetails,PartyName,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes
WA,M,42031,2,"DOYLE, Conor",Pauline Hanson's One Nation,237,22,2,18,64,343
WA,M,0,9998,Unapportioned,One Nation,2242,0,0,0,0,2242
WA,N,42217,0,N Above-the-line Votes,Legalise Cannabis Party,48662,5106,119,2549,5169,61605
WA,N,40919,1,"MEOTTI, Jason",Legalise Cannabis Party,1662,180,8,100,220,2170
WA,N,40922,2,"D'ATH, Melissa Rose",Legalise Cannabis Party,239,29,3,15,58,344
WA,N,0,9998,Unapportioned,Legalise Cannabis Party,1172,0,0,0,0,1172
WA,O,42218,0,O Above-the-line Votes,Animal Justice Party,12510,1016,37,651,2636,16850
WA,O,42025,1,"ANAGNO, Michael",Animal Justice Party,538,41,1,34,133,747
WA,O,42032,2,"STEWART, Grant",Animal Justice Party,68,8,0,2,23,101
WA,O,0,9998,Unapportioned,Animal Justice Party,307,0,0,0,0,307
WA,P,42224,0,P Above-the-line Votes,Australia's Voice,8329,654,32,322,824,10161
WA,P,41983,1,"KRAKOUER, Megan",Australia's Voice,590,66,0,27,73,756
WA,P,41985,2,"LA MACCHIA, Tano",Australia's Voice,35,1,0,2,13,51
WA,P,0,9998,Unapportioned,Australia's Voice,167,0,0,0,0,167
WA,Q,42219,0,Q Above-the-line Votes,Liberal,325344,14709,455,16452,55385,412345
WA,Q,40914,1,"BROCKMAN, Slade",Liberal,4116,243,7,262,1005,5633
WA,Q,40918,2,"O'SULLIVAN, Matt",Liberal,693,56,3,58,205,1015
WA,Q,40923,3,"BOTHA, Trish",Liberal,312,20,0,18,88,438
WA,Q,40929,4,"MATHEWS, Jennifer",Liberal,561,43,0,31,138,773
WA,Q,0,9998,Unapportioned,Liberal,11126,0,0,0,0,11126
WA,R,42222,0,R Above-the-line Votes,The Nationals,41380,2164,43,2379,7869,53835
WA,R,41943,1,"BROWN, Paul",The Nationals,1627,79,2,113,424,2245
WA,R,41947,2,"MILES, Jeremy",The Nationals,193,23,0,12,43,271
WA,R,0,9998,Unapportioned,The Nationals,1660,0,0,0,0,1660
